avg_quiz_score,quizzes_taken,phishing_clicked,phishing_reported,incidents_reported,risk_label
93,6,2,3,0,0
100,0,5,3,1,1
65,9,4,2,1,2
30,14,3,4,3,0
51,14,4,4,0,2
1,18,2,3,3,1
25,10,2,4,3,0
46,13,2,3,1,1
12,7,5,1,0,2
42,11,3,3,3,0
67,4,4,1,0,2
50,13,0,5,2,0
22,0,5,4,0,2
86,0,5,2,3,1
14,20,0,4,0,0
25,8,2,3,0,1
89,10,5,1,2,2
16,10,2,3,2,1
50,6,3,5,0,0
62,10,5,1,3,2
84,16,0,3,0,0
91,7,0,0,3,0
12,18,2,2,1,1
44,15,2,1,0,1
77,18,1,1,1,0
37,18,3,0,3,1
28,6,2,1,1,2
96,17,4,0,0,2
66,7,5,0,2,2
91,14,1,2,3,0
87,13,5,2,3,2
84,13,1,1,2,0
32,20,2,4,2,0
1,0,4,3,2,2
1,2,3,3,0,2
8,1,4,3,2,2
85,11,0,1,1,0
95,16,1,2,0,0
13,8,1,4,0,0
3,12,1,4,2,0
69,17,4,1,3,1
36,5,1,3,2,0
85,20,2,0,2,1
11,12,0,4,2,0
9,12,0,1,0,1
63,1,3,5,2,0
64,18,4,3,2,1
39,10,3,0,2,2
38,7,2,5,1,0
21,4,0,1,3,0
19,18,2,3,2,1
65,20,0,0,3,0
16,0,0,4,2,0
34,2,1,4,3,1
43,18,5,5,1,1
58,16,4,0,1,2
56,16,3,5,3,0
20,16,4,5,3,1
69,7,0,1,0,0
25,14,1,0,2,2
25,20,5,1,2,2
58,17,5,3,2,2
98,17,2,1,2,0
98,11,3,4,1,0
2,4,2,1,2,2
3,12,1,0,3,1
41,11,5,1,2,2
12,12,1,2,2,1
38,13,3,4,1,2
9,6,3,4,0,1
93,16,2,4,1,0
17,4,0,0,0,1
78,8,0,0,3,0
69,6,5,2,1,2
76,1,0,3,3,0
73,10,1,0,1,1
40,16,1,2,3,0
46,16,0,2,3,0
60,9,2,1,1,1
31,2,5,4,3,2
88,8,3,5,0,0
8,2,0,1,3,1
41,8,0,4,2,0
78,5,2,4,3,0
89,17,5,4,3,0
57,2,1,2,0,1
32,5,2,3,0,1
12,10,4,0,0,2
41,3,2,5,3,0
52,6,1,3,1,0
77,12,4,3,2,1
94,1,3,4,2,0
69,18,5,1,0,2
59,14,5,4,0,2
21,3,3,3,1,2
64,17,1,5,3,0
46,11,3,2,2,1
28,10,0,5,2,0
78,18,2,1,2,0
28,3,0,2,0,0
38,14,4,4,2,2
26,2,0,5,3,0
55,20,4,2,3,1
2,0,1,3,1,1
14,1,4,2,3,2
17,14,3,2,3,2
59,13,0,0,0,1
45,17,3,2,0,2
63,11,4,3,1,2
24,13,0,5,3,0
83,3,0,5,3,0
1,7,2,4,0,1
71,20,1,5,3,0
37,10,4,0,0,2
40,7,2,5,2,0
45,14,5,5,3,1
19,0,1,1,3,1
76,0,4,3,1,1
21,6,1,5,2,0
14,1,1,3,0,1
74,2,2,5,0,1
7,7,1,3,1,1
83,14,2,2,3,0
21,2,0,3,1,1
13,10,1,5,3,0
44,18,1,2,2,0
99,12,4,4,2,0
58,2,3,1,2,1
34,14,0,3,0,0
60,19,4,3,3,1
19,17,0,2,3,0
97,3,1,1,3,0
5,6,1,2,2,1
2,12,1,4,2,0
96,2,1,3,3,0
13,13,1,4,0,1
37,12,0,5,1,0
88,19,1,5,0,0
88,1,2,4,0,0
55,3,4,2,1,1
66,13,1,4,1,0
4,19,2,3,0,2
56,19,3,0,2,2
36,16,0,3,3,0
27,14,5,3,2,2
1,8,4,3,1,2
28,0,2,5,0,1
50,13,3,1,3,1
52,17,2,2,1,1
56,6,2,1,2,1
43,5,3,5,0,0
84,0,4,5,0,1
85,14,1,0,2,0
29,17,1,0,1,1
7,14,0,3,2,0
32,0,2,5,0,1
47,4,0,1,1,1
72,20,4,0,2,2
67,1,4,5,1,1
97,17,4,0,2,2
82,12,2,0,3,1
84,14,0,3,1,0
70,14,4,2,3,2
95,16,2,3,1,0
89,10,2,5,1,0
2,20,1,1,1,2
27,20,4,1,0,2
36,14,3,3,2,1
42,15,5,5,1,2
20,10,4,3,2,2
24,3,2,2,2,1
18,1,5,4,3,2
51,13,2,4,2,1
35,17,1,0,0,2
3,10,3,1,2,2
55,16,1,4,1,0
55,3,3,3,1,1
44,9,2,4,2,1
21,20,5,3,0,2
87,9,0,1,2,0
36,3,1,2,3,1
17,18,3,1,0,2
54,17,4,0,2,2
20,16,5,4,2,2
34,6,2,1,0,2
24,1,2,4,1,1
66,9,5,4,2,1
67,5,1,4,1,0
35,7,4,0,3,2
69,8,3,4,0,0
59,1,3,4,3,1
71,17,2,5,3,0
57,2,5,5,1,2
29,19,5,3,1,2
35,4,4,4,2,1
61,15,3,0,3,1
11,7,3,2,3,1
4,19,3,0,0,2
29,20,3,5,1,1
32,20,3,5,3,0
97,13,3,0,2,1
84,1,2,0,0,1
64,10,2,3,1,1
54,5,2,5,2,0
14,4,3,1,3,2
87,9,5,5,1,1
66,15,3,5,0,0
77,19,1,1,0,0
65,0,3,5,0,1
51,2,2,0,1,2
24,12,4,1,3,2
78,3,4,3,3,0
31,12,5,3,1,2
31,10,5,1,3,2
22,18,2,4,2,0
10,17,4,0,2,2
82,8,2,4,0,0
6,15,3,0,3,2
3,6,0,4,2,0
35,5,1,4,3,0
62,2,2,3,1,1
85,4,5,1,1,2
90,20,5,5,2,1
38,4,0,4,0,0
89,17,4,4,0,0
59,10,4,3,3,1
54,20,1,5,3,0
81,7,2,0,0,1
51,5,1,4,1,0
0,1,3,4,0,2
9,17,1,3,3,1
33,7,2,5,3,0
48,14,0,3,2,0
31,11,0,4,3,0
76,7,0,2,0,0
99,10,3,2,2,1
27,18,2,1,0,2
7,9,5,3,0,2
94,7,0,0,1,0
40,17,1,4,3,0
11,7,1,5,0,1
31,1,2,1,2,2
16,7,1,0,0,2
88,17,5,3,1,0
83,20,3,2,1,0
38,16,3,0,2,2
17,20,4,5,0,1
95,10,5,5,2,0
88,12,1,1,0,0
49,14,2,3,0,1
21,10,4,4,0,1
18,6,3,0,3,2
100,14,1,1,3,0
2,0,3,2,3,2
63,9,1,2,0,1
90,1,0,4,0,0
35,9,1,1,1,1
19,10,2,5,3,0
82,4,1,3,2,0
23,2,1,4,1,1
84,7,4,1,1,1
44,19,0,3,0,0
13,2,4,1,2,2
23,1,5,1,2,2
30,18,0,5,2,0
29,5,4,3,3,1
18,15,4,3,1,2
17,19,0,2,3,0
46,10,0,3,1,0
3,19,2,5,2,1
77,10,0,1,3,0
9,17,2,4,2,0
93,12,5,0,2,2
41,2,5,1,2,2
68,4,3,0,0,1
69,3,5,1,2,1
0,3,5,0,1,2
56,19,0,3,0,0
29,11,1,5,1,0
91,13,1,5,2,0
88,12,5,3,0,1
83,17,1,2,0,0
20,3,1,0,2,2
81,10,3,4,1,0
25,11,5,0,0,2
87,16,2,2,0,0
84,11,0,4,0,0
85,0,0,4,0,0
97,10,0,5,0,0
69,1,0,1,0,0
4,1,5,0,1,2
75,14,5,3,2,1
9,2,2,0,3,2
25,3,5,3,1,2
14,7,4,5,3,1
39,16,1,0,3,1
2,7,3,0,1,2
51,17,2,2,0,1
50,10,3,1,3,2
35,4,4,0,2,2
14,15,5,1,1,2
1,6,2,4,2,0
26,17,2,5,0,0
7,4,3,2,0,2
3,5,5,5,2,2
45,15,0,4,2,0
20,12,1,3,3,0
26,4,0,2,0,1
67,19,1,1,1,0
91,8,3,5,1,0
5,18,3,3,0,2
72,20,1,5,2,0
75,15,4,3,3,1
34,19,1,0,2,1
46,17,1,2,0,1
16,4,3,2,1,1
14,2,0,3,0,0
39,14,5,0,3,2
0,7,2,3,1,1
62,20,2,0,0,1
52,13,3,5,3,0
98,12,1,2,0,0
5,1,5,5,1,2
34,18,5,5,2,2
83,16,0,5,1,0
27,19,4,5,2,1
72,18,3,5,3,0
39,16,5,0,3,2
32,19,0,5,2,0
67,7,1,0,0,1
85,8,4,5,0,0
10,13,1,4,2,0
20,4,3,4,2,2
72,8,3,2,0,1
97,0,4,3,1,1
18,19,4,5,3,1
20,18,5,3,0,2
70,3,5,3,0,2
66,11,1,1,2,0
86,5,5,5,0,1
81,16,4,3,1,1
39,13,2,4,3,0
55,16,4,4,1,1
96,6,4,4,0,1
63,9,2,5,1,0
48,8,0,4,2,0
58,6,0,4,3,0
0,7,3,2,3,2
71,7,4,4,0,0
44,6,3,1,0,2
7,13,5,4,2,2
81,17,1,3,1,0
32,3,1,4,2,0
96,11,1,2,2,0
40,6,1,4,0,0
76,9,5,1,2,2
72,6,3,2,3,1
92,5,2,5,3,0
1,16,0,5,3,0
44,14,1,4,0,0
61,16,0,0,1,0
17,3,2,4,2,1
72,20,5,1,1,2
66,2,3,3,2,1
40,7,2,1,2,2
32,6,1,3,0,1
6,3,4,0,0,2
73,17,3,2,2,1
94,10,0,0,1,0
47,19,3,5,0,1
30,3,0,4,1,0
58,2,2,4,3,0
25,13,5,2,3,2
5,14,4,5,1,1
100,4,1,3,0,0
17,8,0,4,0,0
58,14,5,3,0,1
67,4,4,0,0,2
12,1,4,5,0,2
41,1,4,2,1,2
84,13,3,4,3,0
0,2,4,1,2,2
99,18,4,0,2,1
23,18,4,4,3,2
27,4,0,4,3,0
53,12,3,5,0,1
10,6,3,4,0,2
11,5,0,2,2,1
25,15,3,3,3,1
99,5,2,0,1,1
87,14,2,2,3,1
50,20,5,2,1,2
91,18,3,4,2,0
44,16,0,0,0,1
95,7,2,5,2,0
60,15,1,5,0,0
85,10,2,5,1,0
79,11,1,0,3,0
34,14,2,2,1,1
70,6,2,0,3,1
24,4,0,4,0,0
72,0,3,2,1,2
62,7,0,1,1,0
94,5,2,2,3,0
2,13,3,4,0,2
33,9,3,5,3,0
65,1,1,4,3,0
38,2,5,5,2,1
26,6,4,0,0,2
20,18,4,2,0,2
24,16,5,1,1,2
19,17,5,1,3,2
52,14,5,5,2,1
30,13,1,1,3,1
97,10,0,3,0,0
95,5,0,1,3,0
40,5,4,3,0,2
8,1,3,3,3,2
81,14,2,4,2,0
75,18,4,0,1,2
86,0,3,2,0,1
12,4,0,3,2,0
16,3,0,5,0,0
11,4,1,0,0,2
47,6,3,0,2,1
77,2,3,0,3,1
70,8,4,1,0,2
15,8,0,5,2,0
53,0,3,4,2,0
87,7,3,1,2,1
27,5,3,3,0,2
64,3,4,3,2,2
98,12,0,0,1,0
46,20,1,5,0,0
36,5,1,5,0,0
24,2,5,0,3,2
53,19,4,2,0,2
64,19,3,0,3,1
91,11,2,5,0,0
33,4,5,4,0,2
32,6,3,0,1,2
99,12,3,2,0,1
31,10,0,0,3,0
3,7,2,4,0,1
28,1,1,3,0,1
89,3,1,0,2,1
4,19,1,2,2,2
16,11,1,0,1,2
24,9,2,4,2,1
67,14,3,2,2,1
64,16,3,5,3,0
30,8,5,1,1,2
4,19,3,0,2,2
37,1,4,1,0,2
45,4,5,5,1,1
73,13,4,5,2,1
93,5,4,3,0,1
69,8,3,2,3,1
47,11,2,4,0,0
16,10,2,4,3,1
65,1,4,1,3,2
93,0,2,0,2,1
83,17,5,4,1,1
35,4,3,3,1,1
42,20,1,3,3,0
90,4,2,0,0,1
66,11,4,4,1,2
70,16,2,3,3,0
93,2,2,0,2,0
17,12,3,4,3,1
52,17,3,0,1,2
4,0,0,5,1,0
40,3,4,2,3,2
25,18,2,4,3,1
70,14,1,4,0,0
83,14,1,3,0,0
92,7,0,2,3,0
90,3,1,2,0,0
0,2,2,4,3,2
3,2,1,0,0,2
86,20,3,4,0,0
40,5,4,0,1,2
39,6,5,4,0,2
85,14,3,3,3,0
37,18,3,0,0,2
29,4,0,2,2,1
77,15,2,5,3,0
15,9,1,2,1,0
8,16,2,1,1,2
51,14,0,2,0,0
100,5,0,0,2,0
87,1,2,5,0,0
22,6,4,5,0,2
92,8,4,5,1,0
83,19,4,2,0,2
46,12,0,0,2,1
89,14,3,3,1,0
32,13,1,4,2,0
3,18,5,0,0,2
5,7,4,5,2,2
18,11,2,2,1,2
43,1,5,2,0,2
100,7,5,2,1,1
52,10,4,2,3,1
16,5,0,4,0,0
58,0,5,1,3,2
18,4,2,1,1,2
12,19,5,5,2,2
18,19,4,1,2,2
89,9,0,1,1,0
57,4,3,5,0,1
40,16,2,0,3,2
70,2,1,1,0,1
23,9,5,5,1,2
42,6,2,4,2,0
53,19,3,2,3,1
98,14,1,5,0,0
96,15,5,0,2,1
99,1,4,3,0,1
52,14,2,5,2,0
47,20,2,5,3,0
27,0,0,4,3,0
6,16,0,3,2,0
45,9,5,5,0,2
73,17,2,5,1,0
24,14,3,4,2,1
72,18,3,0,2,1
83,12,0,4,2,0
95,19,0,0,1,0
39,10,4,1,2,2
61,0,2,1,1,1
58,12,5,2,1,2
64,13,2,5,1,0
88,6,0,3,3,0
96,4,0,1,3,0
57,10,2,3,1,1
39,3,1,3,2,0
10,12,3,5,3,1
6,10,5,3,3,2
77,5,1,0,0,1
37,20,4,4,0,2
70,2,4,3,2,1
34,3,4,0,3,2
22,20,4,1,3,2
87,12,5,4,3,0
57,6,0,0,0,1
60,8,5,2,0,2
4,9,0,3,2,0
79,2,5,0,2,2
36,12,5,3,2,2
22,12,0,4,1,0
93,0,5,0,1,2
31,9,2,5,1,0
35,1,0,1,3,0
10,13,5,2,1,2
46,0,5,0,2,2
66,9,1,0,0,0
0,1,4,4,3,2
48,20,4,4,2,1
70,12,4,1,0,2
66,6,1,0,2,0
16,10,0,2,0,1
2,14,4,4,2,2
24,8,0,4,0,0
85,15,0,2,3,0
77,18,2,1,0,1
44,14,2,2,0,2
17,18,1,5,1,0
75,14,0,3,2,0
44,17,1,4,0,0
78,19,4,2,1,1
53,13,2,5,3,0
59,19,2,1,2,1
48,8,3,3,1,1
60,14,0,3,3,0
44,6,1,3,0,0
98,4,2,3,0,0
91,5,4,1,0,1
15,2,4,1,3,2
61,9,3,1,0,2
12,10,5,2,0,2
93,11,1,3,2,0
78,15,0,1,1,0
22,17,5,0,3,2
61,5,0,2,1,0
93,12,3,4,1,0
12,3,5,1,2,2
95,5,3,1,0,1
83,11,0,3,3,0
45,17,5,0,3,2
58,7,4,4,1,1
96,5,2,3,3,0
42,9,2,4,2,0
74,20,2,5,2,0
29,15,4,2,1,2
31,14,2,1,2,2
2,15,4,4,0,2
60,18,2,1,1,2
60,10,0,3,3,0
97,4,2,4,2,0
20,11,1,3,1,1
24,13,2,2,0,2
17,17,2,4,3,1
88,8,5,1,1,2
82,0,3,0,2,1
45,13,1,3,1,1
32,10,3,5,3,0
55,12,4,1,0,2
48,5,1,3,1,1
39,10,5,3,3,2
28,7,1,5,0,0
15,13,5,2,2,2
79,12,2,2,0,1
72,2,2,3,0,1
80,14,0,4,1,0
52,11,0,0,3,0
41,18,5,2,1,2
87,9,3,4,3,0
2,4,5,0,3,2
63,7,4,5,3,0
59,9,3,0,3,1
100,3,1,5,2,0
87,1,2,3,1,0
9,7,5,2,3,2
59,16,0,1,0,0
97,8,5,4,0,1
47,17,2,3,3,0
78,6,4,0,3,2
8,7,3,1,2,1
72,11,3,5,2,0
59,6,0,2,3,0
67,7,4,4,0,1
100,5,2,4,0,0
53,3,3,0,0,2
31,5,5,3,0,2
97,15,5,4,1,0
71,7,5,0,1,2
2,11,0,2,2,0
92,4,5,3,0,2
21,3,4,4,2,2
41,17,0,3,3,0
96,0,4,0,3,2
57,7,1,2,0,0
58,14,2,4,2,0
100,16,3,0,0,1
81,16,5,4,3,0
92,13,5,1,0,2
54,16,2,3,2,0
72,19,1,3,2,0
29,0,0,3,0,0
53,14,0,3,2,0
31,14,3,0,0,2
77,7,2,5,3,0
61,18,2,2,2,0
16,0,1,4,0,1
5,17,5,4,0,2
63,18,5,0,0,2
48,20,2,1,2,1
82,6,3,2,0,1
27,1,5,4,2,2
67,16,2,3,1,1
80,8,3,3,1,0
82,2,5,2,3,1
39,0,3,1,3,1
37,11,2,0,2,2
87,13,4,0,2,1
33,2,1,5,1,1
63,7,1,2,2,0
23,4,2,1,2,2
25,14,1,1,3,0
11,3,0,5,0,0
20,19,0,3,1,0
84,0,3,5,0,0
51,14,5,0,0,2
87,4,5,0,2,2
67,17,4,3,2,1
85,7,2,1,1,1
4,12,4,4,3,2
58,12,5,4,0,2
64,7,3,2,1,1
10,11,3,1,0,2
60,8,1,4,3,0
33,19,0,3,0,0
0,0,0,1,1,2
41,20,0,5,1,0
61,14,0,0,1,0
89,12,0,5,0,0
34,13,5,4,2,2
53,12,0,4,3,0
88,1,1,4,1,0
19,5,5,2,3,2
13,13,4,3,2,2
14,18,2,3,2,1
99,2,1,3,3,0
23,16,2,1,0,2
69,13,4,5,3,0
39,15,3,5,3,0
65,2,5,2,2,2
72,6,4,1,3,1
56,15,2,5,1,0
17,17,4,4,0,2
44,4,5,5,3,0
3,5,1,1,2,2
100,9,3,5,3,0
62,2,1,2,2,1
4,5,2,5,0,1
83,15,2,4,2,0
17,16,2,0,0,2
22,9,2,4,2,1
86,1,4,0,1,1
77,9,0,5,1,0
24,13,2,3,3,0
97,9,2,2,2,0
63,1,3,0,1,2
81,10,0,2,1,0
15,5,0,3,2,0
46,14,1,3,3,0
1,14,5,3,3,2
12,10,0,4,0,0
68,15,3,3,1,0
92,14,3,4,1,0
70,12,3,3,0,0
36,2,3,5,3,1
63,4,2,3,0,0
19,5,3,1,1,2
53,3,5,4,2,1
86,1,4,2,1,1
72,6,2,2,1,0
69,19,0,3,0,0
4,19,5,2,0,2
21,3,4,3,1,2
94,6,3,2,1,0
93,2,0,4,0,0
9,1,1,3,3,1
16,15,5,4,2,2
84,3,1,1,3,0
94,16,0,2,3,0
52,9,1,1,3,0
3,11,2,1,2,2
26,16,5,1,0,2
15,1,3,5,1,1
95,9,3,1,3,0
96,12,0,5,1,0
21,19,1,2,2,0
40,15,1,1,0,1
75,8,1,0,1,1
47,19,3,1,0,2
26,1,0,5,1,0
28,14,3,4,3,1
100,17,5,1,3,1
57,11,5,5,3,0
44,3,3,1,1,2
66,12,2,2,0,1
77,6,5,5,3,1
15,16,4,5,0,1
43,16,0,5,2,0
43,1,4,4,2,2
77,14,2,0,0,1
30,2,0,3,2,1
94,1,4,4,3,0
90,7,0,3,3,0
28,15,2,3,1,1
66,0,1,4,2,0
83,5,4,2,0,1
2,2,4,2,3,2
72,6,3,2,1,1
18,5,2,4,2,0
52,12,5,2,2,1
71,19,1,1,3,0
76,8,3,2,3,0
38,18,3,5,2,1
37,1,2,2,3,1
5,13,3,5,0,2
71,19,5,2,2,2
60,3,0,3,1,0
50,20,4,5,0,1
87,15,0,4,0,0
3,10,0,5,1,0
10,8,4,1,3,2
24,18,0,3,1,0
77,2,5,3,0,2
46,20,5,3,1,2
37,9,5,0,1,2
56,6,4,1,1,2
90,19,0,0,3,0
16,3,2,5,1,0
3,0,5,1,0,2
42,13,0,1,3,0
28,15,2,2,2,1
38,15,5,1,3,2
38,8,3,5,1,1
11,3,1,1,0,1
70,0,1,1,2,0
43,7,5,2,0,2
17,4,5,0,1,2
93,6,0,5,0,0
75,0,2,5,0,1
43,17,2,2,1,1
37,4,1,0,3,1
97,1,3,5,1,0
24,20,2,5,2,0
48,8,1,4,1,0
31,4,4,1,0,2
38,14,4,2,2,2
2,18,1,3,0,1
37,12,4,2,2,2
7,7,1,3,2,0
44,7,4,2,3,2
8,13,4,4,0,1
9,10,5,0,0,2
49,11,0,0,3,0
40,3,0,2,1,0
68,10,0,1,1,0
17,18,2,0,3,1
95,19,3,0,3,1
79,15,5,4,0,1
68,19,5,1,2,2
44,17,3,4,1,0
54,10,2,2,2,1
44,11,0,0,2,0
42,18,1,3,2,0
32,18,3,2,3,1
48,4,1,2,1,0
37,12,5,3,1,2
21,15,3,2,3,2
25,7,4,0,0,2
64,5,2,2,2,0
17,14,0,4,0,0
22,12,3,1,3,2
83,5,2,0,0,1
56,20,1,4,0,0
91,16,3,0,1,1
24,17,0,5,2,0
44,10,5,1,3,2
2,20,2,0,3,2
34,0,3,0,0,2
48,10,1,0,3,1
82,15,5,2,0,2
0,9,2,0,1,2
17,1,0,4,0,0
5,20,1,5,3,0
30,9,1,5,0,0
17,19,4,0,2,2
3,16,2,0,3,2
68,4,3,1,2,1
41,12,1,4,2,0
7,2,5,0,1,2
41,12,3,4,3,0
36,9,3,0,3,2
59,6,4,4,1,1
89,18,4,0,2,1
80,12,1,0,0,1
91,9,5,2,1,1
83,4,2,5,2,0
59,18,5,5,3,1
14,11,2,5,0,1
82,5,3,5,2,0
50,7,1,3,3,0
82,9,0,4,0,0
35,5,1,5,0,0
24,16,5,2,1,2
27,2,2,5,0,1
77,18,1,4,1,0
71,18,3,5,2,0
70,8,4,0,0,2
67,2,2,2,1,1
6,0,2,5,2,1
74,9,4,0,1,2
62,3,4,0,2,2
4,15,2,3,2,2
61,2,3,5,2,0
94,16,3,3,2,0
81,17,5,5,1,1
7,14,2,5,2,1
76,8,1,4,3,0
92,1,1,5,2,0
92,5,5,2,1,1
88,19,4,4,0,0
21,2,4,1,1,2
79,1,3,4,2,0
97,5,0,0,0,0
72,4,1,0,1,0
8,10,3,5,3,1
28,5,2,5,0,0
17,6,0,0,0,1
81,10,2,0,3,0
54,3,3,5,1,1
76,16,4,2,2,1
60,9,0,1,2,0
97,3,2,1,1,0
6,7,5,5,1,2
51,17,2,4,0,0
89,13,0,2,2,0
50,5,3,2,1,1
71,0,5,0,0,2
54,2,5,5,0,1
21,10,3,5,0,1
64,15,1,1,0,1
37,13,0,5,3,0
18,11,1,2,1,1
0,19,4,4,1,2
60,7,1,3,0,0
99,9,2,0,0,1
33,13,4,3,1,2
77,15,2,1,1,1
11,5,5,0,3,2
0,14,4,1,1,2
96,12,3,2,1,1
96,14,3,4,2,0
60,1,1,0,3,1
86,5,5,4,1,1
28,1,0,0,0,2
22,6,2,1,3,1
0,13,3,5,2,1
9,6,1,1,1,1
80,0,1,2,2,0
41,18,3,0,3,2
80,13,2,1,1,0
1,3,1,4,2,0
62,0,2,1,0,1
100,15,2,4,1,0
96,16,4,0,1,1
95,8,3,0,0,1
20,17,4,1,0,2
16,17,1,3,0,0
13,16,4,3,1,2
19,14,2,3,0,1
91,4,2,1,3,0
25,13,3,0,1,2
96,9,2,0,3,0
32,11,0,2,2,0
71,19,3,4,1,0
6,13,5,3,3,2
79,15,1,4,2,0
91,5,3,0,1,1
70,0,1,0,0,1
83,2,3,3,0,1
29,16,3,1,3,1
32,12,5,5,1,2
47,3,1,1,0,2
86,14,4,0,1,2
19,13,2,3,3,1
65,3,5,2,1,2
76,3,5,1,3,2
51,20,2,2,1,1
100,15,2,4,2,0
14,2,1,4,2,1
2,5,0,1,0,1
71,20,0,2,1,0
34,13,5,1,3,2
37,11,5,1,0,2
0,11,3,1,0,2
97,9,4,5,0,0
97,5,4,2,2,1
62,11,0,1,3,0
99,9,4,3,3,0
7,3,4,1,3,2
84,20,3,1,1,1
38,19,0,0,1,0
61,5,0,2,1,0
37,18,1,4,3,0
38,0,2,1,3,1
91,19,3,1,2,1
41,9,1,0,2,1
22,1,0,3,3,0
84,1,1,0,0,1
97,19,2,2,1,0
87,7,4,5,3,0
52,9,3,0,2,2
32,14,4,0,3,2
41,18,1,4,1,0
53,15,0,3,3,0
33,20,0,1,0,0
53,12,2,4,2,0
89,7,2,1,1,0
27,17,4,4,1,2
75,1,4,1,1,2
39,8,4,4,0,2
74,9,3,4,0,0
6,7,3,2,2,2
14,15,3,4,1,1
25,4,4,4,3,1
90,6,4,2,3,1
24,11,3,1,0,2
96,8,3,4,1,0
98,4,1,5,1,0
76,6,1,4,3,0
70,8,4,2,1,1
42,14,5,4,0,1
11,3,1,3,0,1
86,11,1,3,0,0
